model,method,r,beta,final_tokens,batch_size,warmup,runs,repeats,throughput_mean,throughput_std,throughput_median,throughput_min,throughput_max,speedup_mean,speedup_median,throughput_all
deit_small_patch16_224,full_patched,0,0.0,197,64,50,200,5,3163.510025704149,4.42142965490535,3165.554883211114,3156.3584891370742,3167.3707073910173,1.0,1.0,"[3167.3707073910173, 3162.237091181934, 3156.3584891370742, 3166.028957599604, 3165.554883211114]"
deit_small_patch16_224,tome,4,0.0,149,64,50,200,5,3149.1155469948562,2.5143481118770405,3150.5477078835206,3145.0742648633054,3151.0481667036997,0.9954498393896859,0.995259227566331,"[3151.0481667036997, 3148.2411779675476, 3150.6664175562055, 3150.5477078835206, 3145.0742648633054]"
deit_small_patch16_224,ours,4,0.0,149,64,50,200,5,3011.5338756324427,17.026549677663894,3021.0064728115294,2983.0664007202763,3023.9403738905526,0.9519596432959372,0.9543371017933653,"[3008.352658840984, 3021.3034718988715, 2983.0664007202763, 3023.9403738905526, 3021.0064728115294]"
deit_small_patch16_224,tome,8,0.0,101,64,50,200,5,3424.6632869466353,38.14473216147651,3417.4743510821836,3388.0986160240636,3469.869388161922,1.08255174130019,1.07958145638452,"[3388.0986160240636, 3389.391562814207, 3458.482516650801, 3417.4743510821836, 3469.869388161922]"
deit_small_patch16_224,ours,8,0.035,101,64,50,200,5,3052.959127790891,21.401683072735125,3051.506866600525,3025.165940756398,3074.8308862952767,0.9650543551261068,0.9639721878728258,"[3051.506866600525, 3074.8308862952767, 3040.0327493762366, 3073.2591959260185, 3025.165940756398]"
deit_small_patch16_224,tome,12,0.0,53,64,50,200,5,3066.729182959368,231.18229482524197,2966.167715249529,2797.4412990754627,3323.1416253583247,0.9694071325968884,0.9370135172765262,"[3295.1612563631916, 3323.1416253583247, 2797.4412990754627, 2951.73401875033, 2966.167715249529]"
deit_small_patch16_224,ours,12,0.05,53,64,50,200,5,2968.12515749157,29.39370194110759,2982.8121684226576,2920.1383206999044,2993.0902163043856,0.9382379487894655,0.94227150640867,"[2920.1383206999044, 2982.8121684226576, 2960.470406532767, 2993.0902163043856, 2984.1146754981332]"
deit_small_patch16_224,tome,16,0.0,11,64,50,200,5,3245.6705417513995,43.34725091214295,3245.079349360006,3191.2971705578293,3312.1066427989063,1.0259713152099028,1.025121809313956,"[3245.079349360006, 3233.6272364609035, 3191.2971705578293, 3246.2423095793524, 3312.1066427989063]"
deit_small_patch16_224,ours,16,0.015,11,64,50,200,5,2710.53261280041,181.67553221818625,2690.017421121887,2467.576953405075,2941.139842030866,0.8568117662902259,0.8497775335972549,"[2467.576953405075, 2824.062228824839, 2629.86661861938, 2690.017421121887, 2941.139842030866]"
deit_small_patch16_224,tome,20,0.0,4,64,50,200,5,3242.67094308204,19.156703373622285,3236.802028137794,3225.227205940115,3263.296072938173,1.025023128339943,1.0225070003696817,"[3225.3039901669963, 3236.802028137794, 3263.296072938173, 3262.7254182271226, 3225.227205940115]"
deit_small_patch16_224,ours,20,0.04,4,64,50,200,5,2867.1387055727014,13.49537922926229,2870.1342638262836,2849.211989810641,2883.1945669098473,0.9063156690753714,0.9066765131915331,"[2849.211989810641, 2858.217604581103, 2883.1945669098473, 2870.1342638262836, 2874.9351027356324]"
deit_small_patch16_224,tome,25,0.0,2,64,50,200,5,3184.2289301300216,30.49883559635466,3176.084956492456,3144.5511831652125,3217.764084561069,1.0065493405291994,1.0033264541825477,"[3144.5511831652125, 3217.764084561069, 3176.084956492456, 3212.029033045018, 3170.715393386352]"
deit_small_patch16_224,ours,25,0.02,2,64,50,200,5,2848.4939424127915,21.357582990832185,2849.791824003091,2813.990689733868,2872.0140340236553,0.9004219740946641,0.9002503286603214,"[2857.3571190641037, 2849.791824003091, 2872.0140340236553, 2813.990689733868, 2849.31604523924]"
deit_base_patch16_224,full_patched,0,0.0,197,64,50,200,5,1171.137031217603,2.6007575957997906,1170.0254880811776,1169.1905376847455,1175.610178743477,1.0,1.0,"[1175.610178743477, 1171.1439955281514, 1170.0254880811776, 1169.1905376847455, 1169.714956050463]"
deit_base_patch16_224,tome,4,0.0,149,64,50,200,5,1212.5644526659314,0.3553154945962824,1212.5661641937738,1212.180288512448,1213.0373753629362,1.035373675619545,1.0363587601688593,"[1212.5661641937738, 1212.180288512448, 1213.0373753629362, 1212.2645972437888, 1212.7738380167107]"
deit_base_patch16_224,ours,4,0.0,149,64,50,200,5,1192.7694287563338,0.9773047232010752,1192.4235905767314,1191.7687289276237,1193.8114748424487,1.0184712778796177,1.0191432603167356,"[1192.0364413630605, 1191.7687289276237, 1192.4235905767314, 1193.8114748424487, 1193.806908071804]"
deit_base_patch16_224,tome,8,0.0,101,64,50,200,5,1450.2632914207206,0.7258930156057688,1450.5544659009806,1449.232737675739,1450.9069164486518,1.2383378313235616,1.2397631339466508,"[1449.232737675739, 1450.9069164486518, 1450.831755451965, 1449.7905816262669, 1450.5544659009806]"
deit_base_patch16_224,ours,8,0.035,101,64,50,200,5,1422.4759857900565,1.227662025727822,1423.0025884420559,1420.4950014121284,1423.4475053233216,1.2146110556432004,1.216215033721835,"[1420.4950014121284, 1422.0983132654567, 1423.0025884420559, 1423.4475053233216, 1423.3365205073198]"
deit_base_patch16_224,tome,12,0.0,53,64,50,200,5,1738.8521542908725,1.1548826329771957,1738.405583980705,1737.714396207818,1740.2201735931758,1.4847555050693169,1.4857843711008905,"[1737.714396207818, 1737.9738440717692, 1738.405583980705, 1739.9467736008953, 1740.2201735931758]"
deit_base_patch16_224,ours,12,0.05,53,64,50,200,5,1702.7895941241986,1.2368854900813735,1702.7232438831604,1701.2288260629418,1704.4493290044163,1.453962729155485,1.4552873088906793,"[1701.2288260629418, 1702.0936198240302, 1703.452951846445, 1702.7232438831604, 1704.4493290044163]"
deit_base_patch16_224,tome,16,0.0,11,64,50,200,5,2108.1757964533062,2.893011731620976,2109.1016638429346,2103.201649223827,2110.662944493326,1.8001102691300663,1.8026117254093552,"[2108.469420461268, 2109.4433042451756, 2109.1016638429346, 2103.201649223827, 2110.662944493326]"
deit_base_patch16_224,ours,16,0.015,11,64,50,200,5,2055.7507080756495,1.235951131733495,2055.7417951165467,2054.1476788501086,2057.5363595363947,1.7553460041634368,1.757005993508679,"[2054.1476788501086, 2055.253438972825, 2055.7417951165467, 2056.0742679023733, 2057.5363595363947]"
deit_base_patch16_224,tome,20,0.0,4,64,50,200,5,2517.2795029752765,4.0906808711818625,2516.391959456508,2512.991596359928,2522.683985483481,2.149432078292428,2.150715505850517,"[2512.991596359928, 2514.121457239824, 2516.391959456508, 2520.2085163366414, 2522.683985483481]"
