model,r,tome_top1_percent,fixed_beta,fixed_beta_ours_top1_percent,best_beta,best_ours_top1_percent,best_delta_top1_pp
ViT-B/16,8,83.7,0.035,83.78,0.035,83.78,0.08
ViT-B/16,12,82.69,0.05,82.87,0.05,82.87,0.18
ViT-B/16,16,80.17,0.015,80.27,0.015,80.27,0.1
ViT-L/16,4,85.22,0.02,85.23,0.02,85.23,0.01
ViT-L/16,8,83.21,0.055,83.29,0.055,83.29,0.08
DeiT-S/16,8,79.32,0.035,79.34,0.3,79.42,0.1
DeiT-S/16,12,78.89,0.05,78.91,0.035,78.98,0.09
DeiT-S/16,16,77.79,0.015,77.75,0.035,77.9,0.11
DeiT-B/16,8,81.1,0.035,81.17,0.1,81.19,0.09
DeiT-B/16,12,80.14,0.05,80.14,0.01,80.16,0.02
DeiT-B/16,16,77.51,0.015,77.49,0.2,77.61,0.1
