model,method,r,beta,top1,top5,acc_drop,gflops,flops_red,final_tokens
deit_base_patch16_224,Full patched,0,0.0,81.738,95.588,0.0,17.582740224,0.0,197
deit_base_patch16_224,ToMe,4,0.0,81.55,95.438,0.1880000000000024,15.343872512,12.733326452403587,149
deit_base_patch16_224,Reliability-Guided,4,0.0,81.55,95.438,0.1880000000000024,15.343872512,12.733326452403587,149
deit_base_patch16_224,ToMe,8,0.0,81.1,95.144,0.6380000000000052,13.122683648,25.366106301861485,101
deit_base_patch16_224,Reliability-Guided,8,0.035,81.17,95.178,0.5679999999999978,13.122683648,25.366106301861485,101
deit_base_patch16_224,ToMe,12,0.0,80.142,94.586,1.5960000000000036,10.926624768,37.85596199001205,53
deit_base_patch16_224,Reliability-Guided,12,0.05,80.136,94.548,1.6020000000000039,10.926624768,37.85596199001205,53
deit_base_patch16_224,ToMe,16,0.0,77.51,93.07,4.227999999999994,8.784053504,50.041612444401665,11
deit_base_patch16_224,Reliability-Guided,16,0.015,77.492,93.012,4.245999999999995,8.784053504,50.041612444401665,11
deit_base_patch16_224,ToMe,20,0.0,66.216,84.72,15.522000000000006,7.143284608,59.37331430143297,4
deit_base_patch16_224,Reliability-Guided,20,0.04,66.336,84.71,15.402000000000001,7.143284608,59.37331430143297,4
deit_base_patch16_224,ToMe,25,0.0,27.484,44.144,54.254,5.798076736,67.0240436807127,2
deit_base_patch16_224,Reliability-Guided,25,0.02,27.23,44.03,54.507999999999996,5.798076736,67.0240436807127,2
