model,method,r,beta,top1,top5,acc_drop,gflops,flops_red,final_tokens
deit_small_patch16_224,Full patched,0,0.0,79.714,94.974,0.0,4.608338304,0.0,197
deit_small_patch16_224,ToMe,4,0.0,79.592,94.892,0.12199999999999989,4.015626368,12.861727957028037,149
deit_small_patch16_224,Reliability-Guided,4,0.0,79.592,94.892,0.12199999999999989,4.015626368,12.861727957028037,149
deit_small_patch16_224,ToMe,8,0.0,79.318,94.736,0.3960000000000008,3.428157824,25.609675378554854,101
deit_small_patch16_224,Reliability-Guided,8,0.035,79.342,94.782,0.3719999999999999,3.428157824,25.609675378554854,101
deit_small_patch16_224,ToMe,12,0.0,78.894,94.482,0.8199999999999932,2.853383808,38.08215413518391,53
deit_small_patch16_224,Reliability-Guided,12,0.05,78.91,94.532,0.804000000000002,2.853383808,38.08215413518391,53
deit_small_patch16_224,ToMe,16,0.0,77.786,93.884,1.9279999999999973,2.298405248,50.12507553959302,11
deit_small_patch16_224,Reliability-Guided,16,0.015,77.746,93.776,1.9680000000000035,2.298405248,50.12507553959302,11
deit_small_patch16_224,ToMe,20,0.0,74.102,91.374,5.611999999999995,1.875310336,59.306148718026066,4
deit_small_patch16_224,Reliability-Guided,20,0.04,73.97,91.358,5.744,1.875310336,59.306148718026066,4
deit_small_patch16_224,ToMe,25,0.0,61.258,81.57,18.455999999999996,1.528677568,66.8280089881179,2
deit_small_patch16_224,Reliability-Guided,25,0.02,61.054,81.628,18.659999999999997,1.528677568,66.8280089881179,2
