model,r,beta,tome_top1,ours_top1,ours_top5,delta_top1_pp,final_tokens
deit_small_patch16_224,8,0.0,79.318,79.318,94.736,0.0,101
deit_small_patch16_224,8,0.005,79.318,79.29,94.734,-0.027999999999991587,101
deit_small_patch16_224,8,0.01,79.318,79.312,94.732,-0.006000000000000227,101
deit_small_patch16_224,8,0.015,79.318,79.308,94.752,-0.009999999999990905,101
deit_small_patch16_224,8,0.02,79.318,79.274,94.762,-0.04399999999999693,101
deit_small_patch16_224,8,0.035,79.318,79.342,94.782,0.02400000000000091,101
deit_small_patch16_224,8,0.05,79.318,79.31,94.772,-0.007999999999995566,101
deit_small_patch16_224,8,0.075,79.318,79.34,94.75,0.02200000000000557,101
deit_small_patch16_224,8,0.1,79.318,79.29,94.766,-0.027999999999991587,101
deit_small_patch16_224,8,0.2,79.318,79.378,94.718,0.060000000000002274,101
deit_small_patch16_224,8,0.3,79.318,79.416,94.696,0.09799999999999898,101
deit_small_patch16_224,8,0.5,79.318,79.186,94.69,-0.1319999999999908,101
deit_small_patch16_224,8,0.7,79.318,79.202,94.66,-0.11599999999999966,101
deit_small_patch16_224,12,0.0,78.894,78.894,94.482,0.0,53
deit_small_patch16_224,12,0.005,78.894,78.864,94.524,-0.030000000000001137,53
deit_small_patch16_224,12,0.01,78.894,78.864,94.502,-0.030000000000001137,53
deit_small_patch16_224,12,0.015,78.894,78.886,94.516,-0.008000000000009777,53
deit_small_patch16_224,12,0.02,78.894,78.92,94.524,0.02599999999999625,53
deit_small_patch16_224,12,0.035,78.894,78.982,94.502,0.08799999999999386,53
deit_small_patch16_224,12,0.05,78.894,78.91,94.532,0.015999999999991132,53
deit_small_patch16_224,12,0.075,78.894,78.94,94.5,0.04599999999999227,53
deit_small_patch16_224,12,0.1,78.894,78.912,94.448,0.018000000000000682,53
deit_small_patch16_224,12,0.2,78.894,78.914,94.502,0.01999999999999602,53
deit_small_patch16_224,12,0.3,78.894,78.844,94.45,-0.05000000000001137,53
deit_small_patch16_224,12,0.5,78.894,78.822,94.402,-0.07200000000000273,53
deit_small_patch16_224,12,0.7,78.894,78.742,94.454,-0.15200000000000102,53
deit_small_patch16_224,16,0.0,77.786,77.786,93.884,0.0,11
deit_small_patch16_224,16,0.005,77.786,77.868,93.862,0.08199999999999363,11
deit_small_patch16_224,16,0.01,77.786,77.846,93.824,0.060000000000002274,11
deit_small_patch16_224,16,0.015,77.786,77.748,93.776,-0.0379999999999967,11
deit_small_patch16_224,16,0.02,77.786,77.754,93.812,-0.031999999999996476,11
deit_small_patch16_224,16,0.035,77.786,77.898,93.916,0.11199999999999477,11
deit_small_patch16_224,16,0.05,77.786,77.822,93.906,0.036000000000001364,11
deit_small_patch16_224,16,0.075,77.786,77.718,93.888,-0.06799999999999784,11
deit_small_patch16_224,16,0.1,77.786,77.872,93.874,0.08599999999999852,11
deit_small_patch16_224,16,0.2,77.786,77.708,93.844,-0.07800000000000296,11
deit_small_patch16_224,16,0.3,77.786,77.776,93.85,-0.010000000000005116,11
deit_small_patch16_224,16,0.5,77.786,77.638,93.774,-0.14799999999999613,11
deit_small_patch16_224,16,0.7,77.786,77.624,93.706,-0.16200000000000614,11
