time,method,r,beta_margin,lambda_spatial,top1,top5,e2e_tps,model_tps_mean,model_tps_median,model_tps_min,model_tps_max,status,note
2026-05-12 00:20:58,Ours,4,0.0,0.01,84.248,97.206,717.4340509088993,1178.08642578125,1178.25244140625,1177.5828857421875,1178.423828125,ok,elapsed_sec=139.0
2026-05-12 00:23:18,Ours,4,0.005,0.01,84.236,97.198,713.834121351467,1177.5281982421875,1178.697021484375,1174.9774169921875,1178.9100341796875,ok,elapsed_sec=139.6
2026-05-12 00:25:37,Ours,4,0.01,0.01,84.216,97.202,717.6447709166397,1176.900146484375,1176.75048828125,1176.218994140625,1177.7308349609375,ok,elapsed_sec=139.1
2026-05-12 00:27:56,Ours,4,0.015,0.01,84.214,97.196,722.4098941390718,1175.6640625,1175.4447021484375,1174.326416015625,1177.2210693359375,ok,elapsed_sec=138.6
2026-05-12 00:30:14,Ours,4,0.02,0.01,84.22,97.208,725.2779728975346,1176.9017333984375,1176.7960205078125,1175.1678466796875,1178.7412109375,ok,elapsed_sec=138.3
2026-05-12 00:32:32,Ours,4,0.025,0.01,84.226,97.192,723.3673247873317,1177.3145751953125,1177.6365966796875,1176.55126953125,1177.7559814453125,ok,elapsed_sec=138.5
2026-05-12 00:34:51,Ours,4,0.03,0.01,84.206,97.178,723.3662294403183,1176.6080322265625,1176.6671142578125,1176.220703125,1176.9366455078125,ok,elapsed_sec=138.4
2026-05-12 00:37:09,Ours,4,0.035,0.01,84.196,97.168,724.5157906997605,1176.8812255859375,1177.0521240234375,1176.186767578125,1177.4046630859375,ok,elapsed_sec=138.3
2026-05-12 00:40:42,Ours,4,0.04,0.01,84.218,97.166,347.64439349241815,1179.9989013671875,1178.8050537109375,1178.6485595703125,1182.543212890625,ok,elapsed_sec=212.9
2026-05-12 00:43:01,Ours,4,0.045,0.01,84.214,97.176,716.1481352516116,1176.8671875,1177.071533203125,1176.3099365234375,1177.2200927734375,ok,elapsed_sec=139.1
2026-05-12 00:45:20,Ours,4,0.05,0.01,84.198,97.182,722.0172930817864,1176.65478515625,1176.29443359375,1175.5325927734375,1178.1373291015625,ok,elapsed_sec=138.5
2026-05-12 00:47:38,Ours,4,0.055,0.01,84.198,97.172,723.2877598272094,1176.93212890625,1176.6590576171875,1176.5224609375,1177.6146240234375,ok,elapsed_sec=138.4
2026-05-12 00:49:57,Ours,4,0.06,0.01,84.202,97.17,718.9407422464467,1176.1400146484375,1176.242431640625,1175.007080078125,1177.1707763671875,ok,elapsed_sec=139.0
