model,method,r,beta,final_tokens,reported_throughput_img_s,reported_speedup,batch_size,warmup,timed_forward_passes,repeats,reported_stat
ViT-B/16,Full patched,0,,197,1153.37,1.0,64,50,200,5,mean
ViT-B/16,ToMe,4,,149,1192.38,1.03,64,50,200,5,mean
ViT-B/16,Reliability-Guided,4,0.0,149,1178.09,1.02,64,50,200,5,mean
ViT-B/16,ToMe,8,,101,1430.93,1.24,64,50,200,5,mean
ViT-B/16,Reliability-Guided,8,0.035,101,1406.41,1.22,64,50,200,5,mean
ViT-B/16,ToMe,12,,53,1713.21,1.49,64,50,200,5,mean
ViT-B/16,Reliability-Guided,12,0.05,53,1680.4,1.46,64,50,200,5,mean
ViT-B/16,ToMe,16,,11,2077.79,1.8,64,50,200,5,mean
ViT-B/16,Reliability-Guided,16,0.015,11,2030.99,1.76,64,50,200,5,mean
ViT-B/16,ToMe,20,,4,2487.78,2.16,64,50,200,5,mean
ViT-B/16,Reliability-Guided,20,0.04,4,2424.59,2.1,64,50,200,5,mean
ViT-B/16,ToMe,25,,2,2932.2,2.54,64,50,200,5,mean
ViT-B/16,Reliability-Guided,25,0.02,2,2846.69,2.47,64,50,200,5,mean
ViT-L/16,Full patched,0,,197,247.74,1.0,64,50,200,5,mean
ViT-L/16,ToMe,4,,101,318.51,1.29,64,50,200,5,mean
ViT-L/16,Reliability-Guided,4,0.02,101,315.14,1.27,64,50,200,5,mean
ViT-L/16,ToMe,8,,7,474.66,1.92,64,50,200,5,mean
ViT-L/16,Reliability-Guided,8,0.055,7,467.98,1.89,64,50,200,5,mean
ViT-L/16,ToMe,12,,2,682.49,2.75,64,50,200,5,mean
ViT-L/16,Reliability-Guided,12,0.05,2,670.88,2.71,64,50,200,5,mean
